SUBJ_ID,Birthdate,Gender,"Experience
",Screentime
01_1-27-23,9/24/2018,Male,Has not engaged with AR filters before,<1
02_1-27-23,9/2/2021,Male,Has not engaged with AR filters before,<1
03_2-3-23,2/2/2016,Female,Rarely,1/2
04_2-3-23,9/18/2013,Male,Once a month,1/2
05_2-3-23,12/3/2018,Female,Once a month,1/2
06_2-3-23,9/15/2016,Female,Has not engaged with AR filters before,<1
07_2-3-23,8/22/2017,Female,Rarely,3/4
08_2-3-23,6/4/2019,Female,More than once or twice a week,5/6
09_2-3-23,2/2/2019,Female,Rarely,1/2
10_2-3-23,5/17/2017,Female,Rarely,1/2
11_2-3-23,8/7/2018,Male,Rarely,1/2
12_2-4-23,2/22/2015,Female,Rarely,1/2
13_2-4-23,2/28/2016,Female,Rarely,1/2
14_2-4-23,10/10/2014,Female,Rarely,1/2
15_2-4-23,5/5/2013,Male,Rarely,1/2
16_2-4-23,10/22/2017,Male,Rarely,5/6
17_2-4-23,11/3/2016,Male,Once a month,5/6
18_2-4-23,5/15/2016,Female,Has not engaged with AR filters before,3/4
19_2-4-23,11/20/2013,Male,Has not engaged with AR filters before,1/2
20_2-4-23,6/9/2017,Female,Has not engaged with AR filters before,<1
21_2-4-23,5/2/2017,Female,Once or twice a week,1/2
22_2-4-23,11/21/2016,Female,Rarely,<1
23_2-4-23,9/3/2019,Female,Rarely,1/2
24_2-4-23,4/2/2019,Female,Has not engaged with AR filters before,<1
25_2-17-23,11/18/2019,Female,Rarely,1/2
26_2-17-23,12/7/2015,Male,Has not engaged with AR filters before,1/2
27_2-17-23,8/23/2023,Male,Has not engaged with AR filters before,1/2
28_2-17-23,6/12/2018,Female,Has not engaged with AR filters before,1/2
29_2-17-23,1/31/2016,Female,Has not engaged with AR filters before,1/2
30_2-17-23,1/28/2013,Female,Rarely,1/2
31_2-17-23,5/9/2018,Female,Has not engaged with AR filters before,1/2
32_2-17-23,5/9/2018,Female,Has not engaged with AR filters before,1/2
33_2-17-23,5/25/2020,Female,Once or twice a week,3/4
34_2-17-23,5/21/2017,Female,Once or twice a week,5/6
35_2-18-23,1/10/2014,Female,Rarely,1/2
36_2-18-23,10/8/2019,Male,Has not engaged with AR filters before,1/2
37_2-18-23,1/31/2016,Female,Rarely,1/2
38_2-18-23,10/11/2018,Female,More than once or twice a week,3/4
39_2-18-23,1/8/2015,Female,Rarely,3/4
40_2-18-23,10/11/2014,Male,Has not engaged with AR filters before,7/8
41_2-18-23,10/15/2015,Female,Rarely,1/2
42_2-18-23,3/21/2019,Male,Rarely,1/2
43_2-18-23,9/10/2019,Male,Rarely,1/2
44_2-18-23,8/6/2017,Female,Rarely,1/2
45_2-18-23,6/2/2019,Female,Rarely,1/2
46_2-18-23,6/27/2015,Female,Rarely,<1
47_2-18-23,7/16/2016,Female,Has not engaged with AR filters before,<1
48_2-18-23,6/2/2013,Male,Has not engaged with AR filters before,3/4
49_2-18-23,7/17/2015,Female,Has not engaged with AR filters before,1/2
